"SpeciesID"	"Plot"	"Pheno.Event"	"MinDOY"	"MeanDOY"	"MaxDOY"
"236"	"MYSC"	"Art3"	"Onset"	180.33776066342	191.769472393902	203.354720245664
"237"	"MYSC"	"Art3"	"Peak"	190.406432589934	201.997047314794	214.338112287101
"238"	"MYSC"	"Art4"	"End"	199.137863976187	214.404960721666	229.489876185167
"239"	"MYSC"	"Art4"	"Onset"	180.017050166434	192.570446982071	207.905290982971
"240"	"MYSC"	"Art4"	"Peak"	188.535463362123	202.848627551666	218.772374476084
"241"	"MYSC"	"Art5"	"End"	180.439889281092	208.492198462511	228.236299987982
"242"	"MYSC"	"Art5"	"Onset"	155.116846911036	178.382093454923	196.707037642175
"243"	"MYSC"	"Art5"	"Peak"	161.902876074405	192.307635810433	215.826726186418
"244"	"MYSC"	"Art6"	"End"	200.013249455629	215.614498399087	232.444063659591
"245"	"MYSC"	"Art6"	"Onset"	190.006107448032	197.046673504274	213.529766227606
"246"	"MYSC"	"Art6"	"Peak"	195.729085327017	206.061445037131	221.979193960978
"247"	"MYSC"	"Art7"	"End"	170.618065531433	201.587062339119	229.336372642051
"248"	"MYSC"	"Art7"	"Onset"	154.551858397178	172.988167691892	192.52127439961
"249"	"MYSC"	"Art7"	"Peak"	158.265810722785	185.988496574454	212.167714900404
"250"	"Nematoda"	"Art2"	"End"	185.806615964716	185.806615964716	185.806615964716
"251"	"Nematoda"	"Art2"	"Onset"	170.538374103682	170.538374103682	170.538374103682
"252"	"Nematoda"	"Art2"	"Peak"	178.026710429362	178.026710429362	178.026710429362
"253"	"Noctuidae"	"Art5"	"End"	221.829608086322	221.829608086322	221.829608086322
"254"	"Noctuidae"	"Art5"	"Onset"	191.743036875502	191.743036875502	191.743036875502
"255"	"Noctuidae"	"Art5"	"Peak"	206.762430079991	206.762430079991	206.762430079991
"256"	"Noctuidae"	"Art7"	"End"	225.494575884989	225.494575884989	225.494575884989
"257"	"Noctuidae"	"Art7"	"Onset"	190.423424842429	190.423424842429	190.423424842429
"258"	"Noctuidae"	"Art7"	"Peak"	208.079711278378	208.079711278378	208.079711278378
"259"	"Nymphalidae"	"Art3"	"End"	204.270278619007	221.973832578041	234.802239354777
"260"	"Nymphalidae"	"Art3"	"Onset"	173.267784166262	199.423533585435	213.393971761012
"261"	"Nymphalidae"	"Art3"	"Peak"	188.509155357434	210.888821064613	224.889984428055
"262"	"Nymphalidae"	"Art4"	"End"	219.197523433452	225.544981995173	235.230313925028
"263"	"Nymphalidae"	"Art4"	"Onset"	197.434987988277	204.34460010338	214.331559713295
"264"	"Nymphalidae"	"Art4"	"Peak"	209.323065740779	214.968510215288	225.104338555276
"265"	"Nymphalidae"	"Art5"	"End"	204.153009833046	217.102424125003	228.933269707669
"266"	"Nymphalidae"	"Art5"	"Onset"	185.279694810406	194.690451142181	201.479926079223
"267"	"Nymphalidae"	"Art5"	"Peak"	194.71316850841	206.058537447995	214.388581880692
"268"	"Nymphalidae"	"Art6"	"End"	218.677733934742	226.891021592463	236.077352918667
"269"	"Nymphalidae"	"Art6"	"Onset"	204.443874810341	210.374814138446	220.474636691438
"270"	"Nymphalidae"	"Art6"	"Peak"	212.038964457053	218.755272863249	229.230436415266
"271"	"Nymphalidae"	"Art7"	"End"	214.123735204025	217.568009302349	220.240240369658
"272"	"Nymphalidae"	"Art7"	"Onset"	193.702590017523	197.091785928864	199.025224074699
"273"	"Nymphalidae"	"Art7"	"Peak"	204.072269592473	207.469415531805	209.980595675906
"274"	"Ostracoda"	"Art2"	"End"	188.477344933733	191.147726752442	193.818108571151
"275"	"Ostracoda"	"Art2"	"Onset"	168.414156458442	172.345335999505	176.276515540568
"276"	"Ostracoda"	"Art2"	"Peak"	178.179861396489	181.274442892487	184.369024388485
"277"	"Phoridae"	"Art3"	"End"	217.429826798807	231.662927755233	237.409628373436
"278"	"Phoridae"	"Art3"	"Onset"	203.484330000695	216.200261289162	231.02179012053
"279"	"Phoridae"	"Art3"	"Peak"	210.741587300385	224.631836668721	234.977208031408
"280"	"Phoridae"	"Art4"	"End"	215.245766907922	230.14561628268	237.151703535703
"281"	"Phoridae"	"Art4"	"Onset"	197.690473807727	207.384374749904	222.874927098834
"282"	"Phoridae"	"Art4"	"Peak"	206.973143688458	220.496210648895	233.044802652489
"283"	"Phoridae"	"Art5"	"End"	202.732497190222	220.845412186508	235.367957855895
"284"	"Phoridae"	"Art5"	"Onset"	179.983517813993	196.901665745755	219.101055738217
"285"	"Phoridae"	"Art5"	"Peak"	195.895261388966	208.902042453435	227.299249110136
"286"	"Phoridae"	"Art6"	"End"	237.312963369981	237.312963369981	237.312963369981
"287"	"Phoridae"	"Art6"	"Onset"	222.987204986424	222.987204986424	222.987204986424
"288"	"Phoridae"	"Art6"	"Peak"	233.480571482627	233.480571482627	233.480571482627
"289"	"Phoridae"	"Art7"	"End"	202.526170983471	224.417875119635	236.145659310229
"290"	"Phoridae"	"Art7"	"Onset"	184.851327661062	197.879159607072	219.479839376709
"291"	"Phoridae"	"Art7"	"Peak"	196.486658212398	210.573969445362	229.59695684604
"292"	"PieridaeÂ "	"Art5"	"End"	208.718937184082	208.718937184082	208.718937184082
"293"	"PieridaeÂ "	"Art5"	"Onset"	190.458489146809	190.458489146809	190.458489146809
"294"	"PieridaeÂ "	"Art5"	"Peak"	199.660868937199	199.660868937199	199.660868937199
"295"	"Scathophagidae"	"Art1"	"End"	161.116601443902	217.098787054501	236.631107093484
"296"	"Scathophagidae"	"Art1"	"Onset"	154.229481201453	169.787649025046	215.677236331472
"297"	"Scathophagidae"	"Art1"	"Peak"	156.066708758688	189.577052163317	227.571876646185
"298"	"Scathophagidae"	"Art2"	"End"	175.324153609097	175.669462211189	176.014770813281
"299"	"Scathophagidae"	"Art2"	"Onset"	155.644910830192	155.854336032393	156.063761234593
"300"	"Scathophagidae"	"Art2"	"Peak"	163.135560246516	163.35658552477	163.577610803025
"301"	"Scathophagidae"	"Art6"	"End"	234.008445330522	234.008445330522	234.008445330522
"302"	"Scathophagidae"	"Art6"	"Onset"	212.320403610285	212.320403610285	212.320403610285
"303"	"Scathophagidae"	"Art6"	"Peak"	223.062099680511	223.062099680511	223.062099680511
"304"	"Scelionidae"	"Art3"	"End"	232.902978475504	232.902978475504	232.902978475504
"305"	"Scelionidae"	"Art3"	"Onset"	213.617798293328	213.617798293328	213.617798293328
